"NUCAN";"CODE";"INSCRITS";"VOTANTS";"EXPRIMÉS";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt";"CodeCanton";"IDCanton"
"1800000000070";7852;3097;2148;2038;915;0;0;0;0;0;1123;0;0;0;"18";"07";"1807"
"1800000000080";7852;9654;6882;6655;3374;0;0;0;0;0;3281;0;0;0;"18";"08";"1808"
"1800000000170";7852;5682;4094;3917;1708;0;0;0;0;0;0;2209;0;0;"18";"17";"1817"
"1800000000180";7852;3572;2849;2794;972;0;0;0;0;0;772;1050;0;0;"18";"18";"1818"
"1800000000280";7852;3275;2456;2376;0;0;1205;0;0;0;0;1171;0;0;"18";"28";"1828"
"1800000000290";7852;12938;7879;7546;4319;0;0;0;0;0;3227;0;0;0;"18";"29";"1829"
"1800000000300";7852;14577;9300;8843;4562;0;0;0;0;4281;0;0;0;0;"18";"30";"1830"
"1800000000330";7852;10832;6533;6307;2581;0;0;0;0;3726;0;0;0;0;"18";"33";"1833"
"1800000000340";7852;7474;4435;4361;2126;0;0;0;0;2235;0;0;0;0;"18";"34";"1834"
"1900000000120";7852;4238;3743;3645;1848;0;0;0;0;0;1797;0;0;0;"19";"12";"1912"
"1900000000130";7852;1970;1795;1775;0;0;889;0;0;0;886;0;0;0;"19";"13";"1913"
"1900000000140";7852;5961;4841;4611;2173;0;0;0;0;0;0;2438;0;0;"19";"14";"1914"
"1900000000200";7852;3093;2720;2651;1287;0;0;0;0;0;0;1364;0;0;"19";"20";"1920"
"1900000000280";7852;6441;5681;5524;2579;0;0;0;0;0;2945;0;0;0;"19";"28";"1928"
"1900000000320";7852;6994;4896;4619;0;0;2352;0;0;0;2267;0;0;0;"19";"32";"1932"
"1900000000340";7852;8073;6320;6038;0;0;3019;0;0;0;0;3019;0;0;"19";"34";"1934"
"2000000000010";7852;4744;2434;2108;0;0;0;0;0;0;0;1659;449;0;"20";"01";"2001"
"2000000000020";7852;2808;2467;2417;0;0;0;0;1251;1166;0;0;0;0;"20";"02";"2002"
"2000000000070";7852;1866;1672;1672;0;0;0;0;828;844;0;0;0;0;"20";"07";"2007"
"2000000000300";7852;4224;3768;3733;0;0;0;2012;0;0;1721;0;0;0;"20";"30";"2030"
"2000000000350";7852;4079;3018;2985;0;0;0;1730;0;0;0;1255;0;0;"20";"35";"2035"
"2000000000640";7852;4181;2831;2661;0;0;0;0;885;0;0;1776;0;0;"20";"64";"2064"
"2000000000650";7852;3165;2293;2140;0;0;859;0;0;1281;0;0;0;0;"20";"65";"2065"
"2000000000660";7852;4196;3169;3012;1675;0;0;0;0;1337;0;0;0;0;"20";"66";"2066"
"2100000000020";7852;4623;3469;3385;0;0;0;0;1903;0;1482;0;0;0;"21";"02";"2102"
"2100000000030";7852;7982;6042;5868;0;0;0;2979;0;0;2889;0;0;0;"21";"03";"2103"
"2100000000050";7852;10068;5409;5199;0;0;1541;0;0;3658;0;0;0;0;"21";"05";"2105"
"2100000000070";7852;2401;1830;1773;0;0;0;0;792;0;0;981;0;0;"21";"07";"2107"
"2100000000120";7852;12768;7344;7192;0;0;3805;0;0;0;3387;0;0;0;"21";"12";"2112"
"2100000000150";7852;8947;6664;6525;0;0;3327;0;0;0;0;3198;0;0;"21";"15";"2115"
"2100000000160";7852;1047;855;822;0;0;401;0;0;2;419;0;0;0;"21";"16";"2116"
"2100000000170";7852;7435;4955;4752;0;0;2135;0;0;0;2617;0;0;0;"21";"17";"2117"
"2100000000200";7852;5208;3990;3877;0;0;1814;0;0;0;0;2063;0;0;"21";"20";"2120"
"2100000000210";7852;9062;6947;6728;3278;0;0;0;0;0;3450;0;0;0;"21";"21";"2121"
"2100000000220";7852;2321;1750;1728;0;0;0;0;824;0;0;904;0;0;"21";"22";"2122"
"2100000000250";7852;5179;3788;3680;0;0;0;0;1729;0;1951;0;0;0;"21";"25";"2125"
"2100000000290";7852;7197;5042;4916;0;0;2906;0;0;0;2010;0;0;0;"21";"29";"2129"
"2100000000300";7852;2450;1733;1624;0;0;0;0;0;895;0;729;0;0;"21";"30";"2130"
"2100000000390";7852;15402;8193;8010;0;0;3034;0;0;0;4976;0;0;0;"21";"39";"2139"
"2200000000020";7852;4898;4178;4027;1738;0;0;0;0;2289;0;0;0;0;"22";"02";"2202"
"2200000000030";7852;3824;3272;3194;1570;0;0;0;0;1624;0;0;0;0;"22";"03";"2203"
"2200000000080";7852;6721;6061;5999;0;0;3099;0;0;0;2900;0;0;0;"22";"08";"2208"
"2200000000120";7852;15127;11406;11100;0;0;5454;0;0;5646;0;0;0;0;"22";"12";"2212"
"2200000000220";7852;10366;8243;8081;0;0;4420;0;0;0;0;3661;0;0;"22";"22";"2222"
"2200000000230";7852;4675;4063;4000;2066;0;0;0;0;0;1934;0;0;0;"22";"23";"2223"
"2200000000260";7852;8118;6988;6889;0;0;3616;0;0;0;3273;0;0;0;"22";"26";"2226"
"2200000000280";7852;14856;10930;10719;0;0;5427;0;0;0;0;5292;0;0;"22";"28";"2228"
"2200000000290";7852;18030;13330;12972;0;0;6077;0;0;0;0;6895;0;0;"22";"29";"2229"
"2200000000330";7852;7191;6248;6074;3075;0;0;0;0;0;2999;0;0;0;"22";"33";"2233"
"2200000000370";7852;6668;5507;5415;0;0;2916;0;0;2499;0;0;0;0;"22";"37";"2237"
