"CodeCanton";"Inscrits";"Votants";"Exprimés";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt"
"6818";11050;7854;7599;91;0;385;0;0;3549;0;2507;422;645;"68"
"6822";9488;6914;6640;153;0;976;0;0;4813;0;0;698;0;"68"
"6823";7414;4931;4684;86;0;944;0;0;3090;0;0;564;0;"68"
"6826";12082;8278;7954;246;0;1114;0;0;0;4835;80;817;862;"68"
"6902";11615;7337;7195;293;0;1268;0;0;0;0;4088;1078;468;"69"
"6903";17043;10956;10714;548;169;1831;0;0;5397;0;1572;1197;0;"69"
"6904";7898;5013;4896;427;0;698;0;0;0;0;3393;378;0;"69"
"6906";8112;5527;5425;272;0;969;0;0;0;0;3279;672;233;"69"
"6908";20711;12480;12168;3771;0;1920;0;0;0;4049;191;1637;600;"69"
"6909";4425;3195;3134;68;0;186;0;0;0;0;2725;155;0;"69"
"6912";4270;2437;2397;47;0;354;0;0;1340;0;30;557;69;"69"
"6914";19599;10952;10758;626;0;2333;0;0;0;5038;746;1696;319;"69"
"6916";25820;14653;14423;699;0;3293;194;206;7473;0;293;2265;0;"69"
"6917";16154;8863;8722;160;0;1111;0;0;5181;0;489;1781;0;"69"
"6918";16381;8258;8101;277;0;1587;0;0;0;0;4590;1647;0;"69"
"6919";16065;8674;8531;346;86;1416;169;0;4805;0;0;1709;0;"69"
"6922";24594;13195;12898;1810;466;2759;0;396;4386;0;813;2268;0;"69"
"6926";18438;11874;11644;692;299;2178;0;0;3661;3186;0;1628;0;"69"
"6927";7180;4917;4362;381;0;0;0;0;0;0;3522;459;0;"69"
"6930";9396;6315;6178;349;0;1216;0;0;0;0;3920;531;162;"69"
"6931";20509;13400;13173;513;0;2308;0;0;0;7805;0;1858;689;"69"
"6933";20266;11284;11036;1014;0;4134;0;132;3081;0;160;2062;453;"69"
"6934";20135;11418;11181;965;120;4351;0;169;0;0;3448;2128;0;"69"
"6937";23950;14772;14333;1056;173;4204;331;0;0;5442;362;2765;0;"69"
"6939";19438;10526;10255;576;123;2266;196;0;3040;1740;337;1977;0;"69"
"6940";17251;9542;9268;1049;0;3274;0;162;1737;1905;0;1141;0;"69"
"6945";21232;12424;12074;1095;0;3193;0;1936;846;2013;135;2399;457;"69"
"6946";17538;9032;8761;2691;0;1580;0;137;23;2677;0;1653;0;"69"
"6947";21441;13566;12349;954;0;4511;103;0;0;4109;353;1879;440;"69"
"6948";12584;7921;7693;2387;0;1194;0;0;2029;1104;0;979;0;"69"
"6949";17173;10300;9942;1357;0;2988;0;1334;1068;1257;214;1724;0;"69"
"6951";15442;9402;9237;360;0;1849;0;0;3324;1366;1128;1210;0;"69"
"7001";3573;2626;2471;165;0;994;0;0;1312;0;0;0;0;"70"
"7002";3663;2644;2581;144;0;1088;0;0;1122;0;0;227;0;"70"
"7003";8187;5843;5606;1336;0;0;1097;1051;0;0;1602;520;0;"70"
"7004";2457;1853;1791;79;0;548;0;0;0;1164;0;0;0;"70"
"7005";2719;1997;1848;99;0;744;0;0;1005;0;0;0;0;"70"
"7006";4163;3067;2939;103;0;507;0;0;2329;0;0;0;0;"70"
"7007";4027;3330;3190;68;0;782;0;293;0;2047;0;0;0;"70"
"7008";3284;2480;2402;81;0;563;0;0;0;0;1758;0;0;"70"
"7011";6287;4330;4130;733;0;1604;0;0;1244;0;0;549;0;"70"
"7012";5387;3759;3620;262;0;768;0;0;2132;0;458;0;0;"70"
"7013";6576;4748;4493;313;0;1525;512;0;0;1573;0;570;0;"70"
"7014";5541;3774;3519;130;0;0;1282;641;0;944;0;522;0;"70"
